song_title,album,year,singer,lyricist,composer,imdb_id
nazar mil ga_ii jaane kis kii nazar se,Anokhi Ada,1948,Shamshad,Shakeel,Naushad,tt0231156
rab mere araj sun merii,Aag,1948,"Mukesh, Shailesh",Saraswati Kumar 'Deepak',Ram Ganguli,tt0040067
kahii.n kaa diipak kahii.n kii baatii ... dekh chaa.Nd kii or,Aag,1948,"Shailesh, Shamshad",Saraswati Kumar 'Deepak',Ram Ganguli,tt0040067
kyuu.N pherii nazar dekho to idhar,Anokhi Ada,1948,Mukesh,Anjum Pillibhiti,Naushad,tt0231156
ye hai duniyaa kaa baazaar,Bazaar,1949,Rafi,Qamar Jalalabadi,Shyamsunder,tt0213868
ai bhuulane waale tujhe ye kaun bataaye,Singaar,1949,Suraiya,Nakshab,Khurshid Anwar,tt0141826
ham kisako sunaaye.n haal ye duniyaa paise kii,Shabnam,1949,Lalita Deolikar,Qamar Jalalabadi,S D Burman,
wo din kidhar gaye kaho wo din kidhar gaye,Singaar,1949,Suraiya,Shakeel,Khurshid Anwar,tt0141826
ye qaafilaa hai pyaar kaa chalataa hii jaa_egaa,Lekh,1949,"Mukesh, Asha",Qamar Jalalabadi,Krishan Dayal,
yaad aa rahaa hai dil ko bhuulaa hu_aa zamaanaa,Amar Kahani/ ( Kanchan 1955),1949,Suraiya,Rajinder Krishan,Husnlal-Bhagatram,
zaraa sun lo ham apane pyaar kaa afasaanaa kahate hai.n,Baazaar,1949,"Lata, Rajkumari, ???",Qamar Jalalabadi,Shyamsunder,
uma.ngo.n par jawaanii chhaa ga_ii ab to chale aavo,Amar Kahani/ ( Kanchan 1955),1949,Suraiya,Rajinder Krishan,Husnlal-Bhagatram,
ik bewafaa kii yaad ne ta.Dapaa ke maar Daalaa,Char Din,1949,Suraiyya,Shakeel,Shyamsunder,tt0267367
basaa lo apanii nigaaho.n,Bazar,1949,Lata,Qamar Jalalabadi,Shyam Sunder,tt0154209
o jaanevaale chaa.Nd zaraa muskuraake jaa,Bazaar,1949,Rafi,Qamar Jalalabadi,Shyamsunder,tt0213868
saajan kii galiyaa.N chho.D chale,Bazaar,1949,Lata,Qamar Jalalabadi,Shyamsunder,tt0213868
nayaa naino.n me.n ra.ng na_ii uThii uma.ng,Singaar,1949,Suraiya,D N Madhok,Khurshid Anwar,tt0141826
kaun samajhegaa ... dil aane ke Dhang niraale hai.n,Singaar,1949,Surinder Kaur,Nakhshab,Khurshid Anwar,tt0141826
dharak\-dharak tere bin meraa jiyaraa,Singaar,1949,"Suraiya, Chorus",D N Madhok,Khurshid Anwar,tt0141826
muhabbat par bahaar aatii,Shayar,1949,Lata,Shakeel,Ghulam Mohammad,
ye duniyaa ruup kii chor bachaa le mujhe baabuu,Shabnam,1949,Shamshad,Qamar Jalalabadi,S D Burman,
rut hai suhaanii baadal chhaa_e re,Thes,1949,Mukesh,Kidar Sharma,Snehal Bhatkar,
mere sipahiyaa hamaarii galii a_iyo,Sipahiya,1949,"Chitalkar, Shamshad",Raj Kunwar,C Ramchandra,
Kushiyo.n kaa zamaanaa biit gayaa,Amar Kahani/ ( Kanchan 1955),1949,Suraiya,Rajinder Krishan,Husnlal-Bhagatram,
ik baar tuu ban jaa meraa,Shabnam,1949,Shamshad,Qamar Jalalabadi,S D Burman,
chaahate ho gar ... aa.Nkhe.n la.Daanaa chho.D do,Sipahiya,1949,Chitalkar,Ram Murty Chaturvedi,C Ramchandra,
ye raat phir na aayegii,Mahal,1949,"Rajkumari, Zohrabai Ambalewali",Nakshab,Khemchand Prakash,tt0041619
haaye ye mai.nne kyaa kiyaa,Samapti,1949,Talat Mahmood,Pandit Bhushan,Timir Baran,
vo paas rahe.n yaa duur rahe.n,Badi Behan,1949,Suraiyya,Qamar Jalalabadi,Husnlal-Bhagatram,
dil kaa qaraar luT chukaa,Lekh,1949,Suraiyya,Qamar Jalalabadi,Krishan Dayal,
raakhii kaa aayaa tyohaar sakhii,Rakhi,1949,Shamshad,Sarshar Sailani,Husnlal Bhagatram,tt0232513
baabul kaa ghar chho.D ke gorii,Rakhi,1949,Chorus,Sarshar Sailani,Husnlal-Bhagatram,tt0232513
prem\-nagar me.n basane waalo,Barsaat,1949,Lata,Hasrat,Shankar-Jaikishan,tt0041161
ai aa.Nkh ab naa ronaa ronaa to umr bhar hai,Sipahiya,1949,"Lata, Chitalkar",Rammurti Chaturvedi,C Ramchandra,
o o o o mujhe kisii se pyaar ho gayaa,Barsaat,1949,Lata,Hasrat,Shankar-Jaikishan,tt0041161
pyaar me.n tumane dhokhaa siikhaa,Shabnam,1949,"Mukesh, Shamshad",Qamar Jalalabadi,S D Burman,
meraa dil ta.Dapaa kar kahaa.N chalaa,Shabnam,1949,Geeta,Qamar Jalalabadi,S D Burman,
tuu ne jahaa.N banaa kar ehsaan kayaa kiyaa hai,Maa Ka Pyar,1949,Lata,I C Kapoor,Govind Ram,
Da.nke kii choT par kahataa huu.N mai.n,Girls School,1949,"Shamshad, Chitalkar",Pradeep,C Ramchandra,tt0042507
pyaar me.n do dil mile aur duur ho kar rah gaye,Balam,1949,Suraiya,Qamar Jalalabadi,Husnlal-Bhagatram,tt0380207
siine me.n aag bha.Dakatii hai ... ai ishq hame.n barabaad na kar,Naach,1949,"Suraiya, Rafi",Sarshar Sailani,Husnlal-Bhagatram,
bichha.De hu_e paradesii ik baar to aanaa tuu,Barsaat,1949,Lata,Hasrat,Shankar Jaikishan,tt0041161
diiwaalii kii raat piyaa ghar aane waale hai.n,Amar Kahani,1949,Suraiyya,Rajinder Krishan,Husnlal-Bhagatram,tt0038491
Thukaraa ke hame.n chal di_e begaanaa samajh kar,Balam,1949,Rafi,Qamar Jalalabadi,Husnlal Bhagatram,tt0380207
aataa hai zi.ndagii me.n bhalaa pyaar kis tarah,Balam,1949,"Suraiya, Rafi",Qamar Jalalabadi,Husnlal-Bhagatram,tt0380207
chaahe kitanii kaThin Dagar ho,Jeet,1949,"Suraiya, Shankar Dasgupta",Prem Dhawan,Anil Biswas,tt0273294
dil do naino.n me.n ... buraa hu_aa yaa bhalaa hu_aa,Sunehre Din,1949,"Mukesh, Surindar Kaur",Deena Nath Madhok,Gyan Dutt,
chaar dino.n kii chaa.Ndanii hai phir a.Ndhiyaarii raat,Girls School,1949,"Shankar Dasgupta, Lata",Pradeep,Anil Biswas,tt0042507
ra.ngiin gagan piichhe chhutaa,Uddhar,1949,Lata,Narendra Sharma,Vasant Desai,
do bichha.De hue dil,Shayar,1949,"Lata, G M Durrani",Shakeel,Ghulam Mohammad,
patajha.D ke gaye din biit basa.ntii phuul khile,Uddhar,1949,"Lata, Chorus",Narendra Sharma,Vasant Desai,
aa.Nkhe.n kah ga_ii.n dil kii baat,Ladli,1949,S D Batish,Safdar 'Aah',Anil Biswas,
duniyaa hamaare pyaar kii yuu.N hii javaa.N rahe,Lahore,1949,"Lata,Karan Divan",Rajinder Krishan,Shyamsunder,tt0354691
"aa ga_ii bahaar, aa ga_ii",Nai Taleem,1949,Lata,S R Chopda,Vasant Desai,
kisane ye kisane ye kisane chhe.De taar,Hamari Beti,1950,"Geeta, Mukesh",Randhir,Snehal Bhatkar,tt0269300
mausam\-e\-bahaar yaar ... yaar va_i va_i,Sargam,1950,"Lata, Chitalkar, Chorus",P L Santoshi,C Ramchandra,tt0269826
duniyaa hai barabaad dil kii ... miinaa baazaar,Meena Bazar,1950,"Rafi, Lata",Qamar Jalalabadi,Husnlal Bhagatram,
paas aake hu_e ham duur yahii thaa qismat ko,Meena Bazar,1950,"Rafi, Lata",Qamar Jalalabadi,Husnlal Bhagatram,
are dene vaale yah kyaa ... gariibo.n kii qismat me.n,Meena Bazar,1950,Rafi,Qamar Jalalabadi,Husnlal Bhagatram,
ghir ghir ke aasamaa.N par,Bawre Nain,1950,"Rajkumari, Asha",Kedar Sharma,Roshan,tt0042233
gun gun gun gun bole re bha.nwar sun sun sun kyaa laayaa Kabar,Afsar,1950,Suraiyya,Pt Narendra Sharma,S D Burman,tt0042184
o maahii o dupaTTaa meraa de\-de,Meena Bazar,1950,"Rafi, Lata",Qamar Jalalabadi,Husnlal Bhagatram,
kaise ye qaayade hai.n zamaane me.n pyaar ke,Nili,1950,Suraiya,Surjeet Sethi,S Mohinder,tt0256230
kyuu.N shiqavaa kare.n kyuu.N aah bhare.n,Pagle,1950,"Jagirdar, Agha, Sherry",Anjum Rahmani,Snehal Bhatkar,
luT ga_e ho pyaar me.n tere luT ga_e ho,Chhoti Bhabhi,1950,Rafi,Qamar Jalalabadi,Husnlal Bhagatram,
meraa bholaa saa balamaa re,Khamosh Sipahi,1950,"Rajkumari, Lalita Deulkar",D N Madhok,Khurshid Anwar,
"tuu tuu tuu ghar aajaa, balamawaa re paradesiyaa",Nishana,1950,Geeta Roy,Nakhshab,Khurshid Anwar,
hame.n maar chalaa ye Kyaal ye Gam na idhar ke rahe na udhar ke rahe,Arzoo,1950,Anil Biswas,Majrooh,Anil Biswas,tt0042207
jaate ho to jaao ham bhii yahaa.N vaado.n ke sahaare jii le.nge,Khel,1950,Lata,Sagar Nizami,Sajjad,tt3840026
haay ye judaa_ii kii choT burii hai,Nili,1950,Suraiya,Surjeet Sethi,S Mohinder,tt0256230
priit lagaa ke maine ye phal paayaa,Ankhen,1950,Mukesh,Raja Mehdi Ali Khan,Madan Mohan,
zamaane kaa dastuur hai ye puraana,Lajawab,1950,"Lata, Mukesh",Prem Dhawan,Anil Biswas,tt0151287
hame.n ab ye jiinaa gawaaraa nahii.n hai,Khel,1950,G M Durrani,Bahzad Lakhnavi,Sajjad,tt3840026
ta ra rii aa ra rii aa ra rii ... ye saawan rut tum aur ham ta ra ra ra ram,Dastaan,1950,"Rafi, Suraiya",Shakeel,Naushad,tt30218627
aayii bahaar aayii aayii bahaar,Arzoo,1950,"Lata, chorus",Prem Dhawan,Anil Biswas,tt0042207
vo sapanevaalii raat,Pyaar,1950,Geeta,Majrooh,S D Burman,tt0378614
paradesii re jaate\-jaate jiyaa moraa liye jaa,Afsar,1950,Suraiyya,Narendra Sharma,S D Burman,tt0042184
nain diivaane ik nahii.n maane,Afsar,1950,Suraiyya,Pt. Narendra Sharma,S D Burman,tt0042184
dil ko ta.Dapanaa ... o dene waale ye kyaa diyaa,Kamal Ke Phool,1950,Suraiya,Rajinder Krishan,Shyamsunder,tt0231860
na sochaa thaa ye dil lagaane ke pahale,Babul,1950,Shamshad,Shakeel,Naushad,tt0331186
sazaa milii hai kisii se ye dil lagaane kii,Kamal Ke Phool,1950,Suraiyya,Rajinder Krishan,Shyamsunder,tt0231860
naam teraa hai zabaa.N par yaad terii dil me.n hai,Dastaan,1950,Suraiya,Shakeel,Naushad,tt30218627
husn vaalo.n ko na dil do ye miTaa dete hai.n,Babul,1950,Talat,Shakeel,Naushad,tt0331186
lo chal di_e vo hamako tasallii di_e baGair,Gulnar,1950,Noorjehan,Qatil Shifai,Ghulam Haider,
jab tum the hamaare aur ham the tumhaare,Mashal,1950,Arun Kumar,Pradeep,S D Burman,
ai dil ai diivaane,Baaz,1950,Geeta,Majrooh,O P Nayyar,tt0043307
kyo.n mere dil me.n dard basaayaa javaab do,Bawre Nain,1950,Rajkumari,Kedar Sharma,Roshan,tt0042233
mujhe sach sach bataa do,Bawre Nain,1950,"Rajkumari, Mukesh",Kedar Sharma,Roshan,tt0042233
muhabbat ke maaro.n kaa,Bawre Nain,1950,"Rafi, Asha",Kedar Sharma,Roshan,tt0042233
Dagamag Dagamag Dole naiyaa,Jogan,1950,Geeta,Kedar Sharma,Bulo C Rani,tt0141441
"mere ruuThe hue balamaa, ajii ruuThe hue chandaa",Bawre Nain,1950,Rajkumari,Kedar Sharma,Roshan,tt0042233
"terii duniyaa me.n dil lagataa nahii.n, vaapas bulaa le",Bawre Nain,1950,Mukesh,Kedar Sharma,Roshan,tt0042233
tasviir\-e\-yaar dil se ... ko_ii kisii kaa diiwaanaa naa bane,Sargam,1950,Lata,P L Santoshi,C Ramchandra,tt0269826
jahaa.N me.n jinakii qismat ... bahut puradard hai,Birha Ki Raat,1950,Rafi,Sarshar Sailani,Husnlal Bhagatram,tt0230040
ban ke suhaagan rahii abhaagan,Aadhi Raat,1950,Lata,Sarshar Sailani,Husnlal-Bhagatram,
uupar gagan vishaal,Mashaal,1950,"Manna De, chorus",Pradeep,S D Burman,
"vo ham se chup hai.n ham un se chup hai.n manaane vAle, manaa rahe.n hai.n",Sargam,1950,"Chitalkar, Lata",P L Santoshi,C Ramchandra,tt0269826
kaTiile tore nainaa,Nishana,1950,Shamshad,Nakhshab,Khurshid Anwar,
kaisii muralii bajaa_ii shaam ne,Nishana,1950,Geeta Roy,Nakhshab,Khurshid Anwar,
taaro.n se ab chaa.Nd kii kuchh baat ho ga_ii,Pagle,1950,"Rajkumari, Talat Mahmood",Anjum Rahmani,Snehal Bhatkar,
"are buu.Dhaa hai gho.Daa, laal hai lagaam",Sargam,1950,"Lata, Chitalkar",P L Santoshi,C Ramchandra,tt0269826
dard\-e\-judaa_ii hai Gam kii ghaTaa chhaa_ii hai,Chhoti Bhabhi,1950,Lata,Qamar Jalalabadi,Husnlal-Bhagatram,
dil hii to hai ta.Dap gayaa,Aadhi Raat,1950,Lata,Qamar Jalalabadi,Husnlal-Bhagatram,
na thamate hai.n aa.Nsuu na rukate hai.n naale,Meena Bazar,1950,Rafi,D N Madhok,Husnlal Bhagatram,
hotaa rahaa yuu.Nhii agar a.njaam vafaa kaa,Malhaar,1951,Mukesh,Indeevar,Roshan,
ye sansaar priit bharaa sansaar sa.ngiit bharaa sansaar,Sansaar,1951,Talat,Pt Indra,"M D Parthasarathi, Emani Shankara Shastry, B.S Kalla",
ik baar agar tuu kah de,Malhaar,1951,"Mukesh, Lata",Indeevar,Roshan,
ye aa.Nsuu Kushii ke aa.Nsuu hai.n,Ek Nazar,1951,Talat Mahmood,Rajinder Krishan,S D Burman,tt0214664
chhoTii sii ye zi.ndagaanii re,Aah,1951,Mukesh,Shailendra,Shankar-Jaikishan,tt0045467
ba.De armaano.n se rakhaa hai balam terii kasam,Malhaar,1951,"Mukesh, Lata",Indeevar,Roshan,
taaraa TuuTe duniyaa dekhe dekhaa na kisiine dil TuuT gayaa,Malhaar,1951,Mukesh,Indeevar,Roshan,
ham hai.n tere diivaane gar tuu buraa na maane,Shabistan,1951,"Talat, Geeta, Chitalkar",Qamar Jalalabadi,C Ramchandra,
ye zindagii hai yo\-yo,Aaraam,1951,"Manmohan Krishna, Chorus",Rajinder Krishan,Anil Biswas,
diivaanaa ye paravaanaa shammaa pe aayaa,Albela,1951,"Lata, Chitalkar, Chorus",Rajinder Krishan,C Ramchandra,tt0137349
dil ye kyaa chiiz hai,Baazi,1951,Kishore,Sahir,S D Burman,tt0043307
unase pyaar ho gayaa,Baadal,1951,Lata,Shailendra,Shankar Jaikishan,
jiyaa lahar lahar laharaaye ke man lalachaaye,Sansaar,1951,Lata,Pt Indra,M D Parthsarthi,
jabase balam ghar aa_e,Aawaaraa,1951,Lata,Hasrat,Shankar Jaikishan,
ab kahaa.N jaae.N ki apanaa meharabaa.N koii nahii.n,Pyaar Ki Baaten,1951,Lata,Khawar Jaman,Khaiyyam,
ye kisakii yaad aa ga_ii ... teraa i.ntazaar hai,Raajput,1951,Suraiya,Anjum Jaipuri,Hansraj Behl,
ek bevafaa se pyaar kiyaa,Awara,1951,Lata,Hasrat,Shankar-Jaikishan,tt0043306
o anamol pyaar bin mol bike,Baadal,1951,Lata,Shailendra,Shankar Jaikishan,
o paradesiyaa ... pyaar kii bahaar leke ... aajaa re,Bahaar,1951,Shamshad,Rajinder Krishan,S D Burman,
ai zi.ndagii ke raahii himmat na haar jaanaa,Bahaar,1951,Talat,Rajinder Krishan,S D Burman,
nasiib dar pe tere aazamaane aayaa huu.N,Deedaar,1951,Rafi,Shakeel,Naushad,
yaad aa_ii hai bekasii chhaa_ii hai,Nageenaa,1951,Lata,Hasrat,Shankar Jaikishan,
chorii chorii aag sii dil me.n lagaa kar chal die,Dholak,1951,Sulochana Kadam,Shyamlal Shams,Shyamsundar,tt2396447
ai chaa.Nd pyaar meraa tujhase ye kah rahaa hai,Khazana,1951,Lata,Rajinder Krishan,C Ramchandra,tt0134763
meraa dil to.Dakar jaanewaale,Sanam,1951,Suraiya,Qamar Jalalabadi,Husnlal-Bhagatram,tt0139583
aayii barakhaa bahaar pa.De buu.Ndan phuhaar,Shokhiyan,1951,"Lata, chorus",Kedar Sharma,Jamal Sen,tt3123868
hallaa\-gullaa laa_iilaa khullam\-khullaa ... aish kar lo dosto.n,Dholak,1951,"Rafi, Shamshad, Satish Batra",Ajiz Kashmiri,Shyam Sundar,tt2396447
"kahaa.N ho tum, zaraa aavaaz do, ham yaad karate hai.n",Malhaar,1951,"Mukesh, Lata",Kaif Irfani,Roshan,
nazar phero na hamase ham hai.n tum par marane waalo.n me.n,Deedaar,1951,"G M Durrani, Shamshad",Shakeel,Naushad,
ye kaun aayaa ke mere dil kii duniyaa me.n bahaar aa_ii,Baazi,1951,Geeta,Sahir,S D Burman,tt0043307
do din ke liye mahamaan yahaa.N,Badal,1951,Lata,Shailendra,Shankar-Jaikishan,tt0130489
aa.Nkho.n\-aa.Nkho.n me.n unase pyaar ho gayaa,Adaa,1951,Lata Mangeshkar,Prem Dhawan,Madan Mohan,tt0214409
ham tujh se muhabbat kar ke sanam,Aawaara,1951,Mukesh,Hasrat,Shankar-Jaikishan,
nayaa\-nayaa hai pyaar zamaanaa dekh na le,Sanam,1951,"Suraiya, Shamshad, S D Batish",Qamar Jalalabadi,Husnlal-Bhagatram,tt0139583
agar kisii se mohabbat na kii ... samajh lo nazar se,Kashmir,1951,Zohra Bai,Sarshar Sailani,Hansraj Bahl,tt25236878
bahe a.Nkhiyo.n se dhaar jiyaa meraa beqaraar ... dil to.D ke,Hum Log,1951,Lata,Udhav Kumar,Roshan,tt0331261
raato.n kii nii.nd chhiin lii aa.Nkho.n ke i.ntezaar ne,Shokhiyan,1951,Suraiyya,Kedar Sharma,Jamal Sen,tt3123868
ai chaa.Nd mere chaa.Nd ko dikhalaa na sakaa tuu,Jai Mahakali,1951,Geeta Dutt,Firoz Jalandhari,Kumar,
"dam bhar jo udhar mu.Nh phere, o chandaa",Aawaara,1951,"Lata, Mukesh",Shailendra,Shankar-Jaikishan,
tuune mere zaKm\-e\-jigar ko chhuu liyaa,Nageenaa,1951,Lata,Shailendra,Shankar Jaikishan,
tumako apanii zindagii ... dil beqaraar hai,Nageenaa,1951,C H Atma,Hasrat,Shankar Jaikishan,
"aavaaraa huu.N, yaa gardish me.n huu.N aasamaan kaa taaraa huu.N",Aawaara,1951,Mukesh,Hasrat,Shankar-Jaikishan,
mere chaahanewale hazaar mujhe tuu maaf karanaa,Sanam,1951,"Suraiya, S D Batish",Qamar Jalalabadi,Husnlal-Bhagatram,tt0139583
apanii nazar se unakii nazar tak,Humlog,1951,Mukesh,Vishwamitra Adil & Udhav Kumar,Roshan,
bahaar aa_ii magar dil me.n ... luTaa dil meraa haay aabaad ho kar,Hulchul,1951,Lata,Khumar Barabankwi,Sajjad Husain,tt0133014
jaane na jaane na haay ye duniyaa jaane na dil kii lagii,Buzdil,1951,Lata,Shailendra,S D Burman,tt0043367
"o beTaa jii, kismat kii havaa kabhii garam",Albela,1951,Chitalkar,Rajinder Krishan,C Ramchandra,tt0137349
mahafil me.n mere kaun ye diivaanaa aa gayaa,Albela,1951,"Rafi, Lata",Rajinder Krishan,C Ramchandra,tt0137349
duniyaa ne terii duniyaa vaale,Deedar,1951,Lata,Shakeel,Naushad,tt0137459
merii kahaanii bhuulane vaale teraa jahaa.N aabaad rahe,Deedar,1951,Rafi,Shakeel,Naushad,tt0137459
ik terii nazar ik merii nazar ... kaho ye pyaar nahii.n to kyaa hai,Amar Kahani/ ( Kanchan 1955),1952,Suraiya,Rajinder Krishan,Husnlal-Bhagatram,
ham\-tum ye bahaar dekho ra.ng laayaa pyaar,Ambar,1952,"Rafi, Lata",Shakeel,Gulam Mohammad,
dekho aayaa ye kaisaa zamaanaa,Daagh,1952,"Lata, Chorus",Shailendra,Shankar-Jaikishan,
priit ye kaisii bol rii duniyaa,Daagh,1952,Lata,Shailendra,Shankar-Jaikishan,
churaakar dil ko yuu.N ... haay meraa dil mujhe vaapas,Ambar,1952,Rafi,Shakeel,Gulam Mohammad,
yahii bahaar hai,Raagrang,1952,Lata,Kaif Irfani???,Roshan,
ye duniyaa kaisii hai bhagavaaan,Deewaanaa,1952,Hridaynath Mangeshkar,Shakeel,Naushad,
ham pyaar tumhii.n se karate hai.n,Ambar,1952,Lata,Shakeel,Ghulam Mohemmad,
nigaahe.n kyo.n milaa_ii thii.n agar yuu.N chho.D jaanaa thaa,Laal Kunwar,1952,Suraiya,Sahir,S D Burman,
"TuuTegii na pyaar kii Dor, duniyaa chaahe lagaa le zor",Ambar,1952,Lata,Shakeel,Ghulam Mohemmad,
ye havaa ye raat ye chaa.Ndanii,Sangdil,1952,Talat,Rajinder Krishan,Sajjad,tt0130991
mujhe dard tuune ye kyaa,Saloni,1952,Lata,Arjun Dev Ashk,Basant Prakash,
tere dar se Kushii maa.ngii ... are ye kyaa kiyaa tuune,Hangaamaa,1952,Lata,Rajinder Krishan,C Ramchandra,
kahii.n dil lagaane kaa saamaan kar le,Raagrang,1952,Rajkumari,Sarshar Sailani,Roshan,
priit sataa_e terii yaad na jaa_e terii,Laal Kunwar,1952,Suraiyya,Sahir,S D Burman,
duur koii gaae dhun ye sunaae,Baiju Bawra,1952,"Shamshad, Lata",Shakeel,Naushad,tt0044392
"are baabaa, ye ha.Nsii baabaa, ye Kushii baabaa",Shin Shinaaki Booblaa Boo,1952,"Lata, Kishore, Chorus",P L Santoshi,C Ramchandra,
jiinevaale o matavaale zi.ndagii se pyaar kar,Sanskaar,1952,Lata,Shailendra,Roshan,
hai kahii.n par shaadamaanii aur kahii.n naashaadiyaa.N,Aandhiyaan,1952,Lata,Pt Narendra Sharma,Ali Akbar Khan,
badanasiibii kaa gilaa ai dil-e-naashaad na kar,Bewafaa,1952,Lata,Sarshar Silani,Alla Rakha,
pyaar bharii in aa.Nkho.n ne aajaa tujhako,Parbat,1952,"Lata, Geeta",Hasrat,Shankar Jaikishan,tt0215034
do din kii zi.ndagii me.n dukha.De hai.n beshumaar,Poonam,1952,Lata,Shailendra,Shankar-Jaikishan,tt0237587
ek baar jhalak dikhalaa ke hame.n ... isii kaa naam duniyaa hai to,Bewafaa,1952,Lata,Sarshar Sailani,Alla Rakha Qureshi,
rote hai.n nainaa Gam ke maare,Ambar,1952,"Shamshad, Rafi, Chorus",Shakeel,Ghulam Mohemmad,
duniyaa me.n nahii.n ... zamaanaa sach kahataa hai,Ambar,1952,"Lata, Rafi",Shakeel,Ghulam Mohemmad,
shamaa jalii paravaanaa aayaa,Ambar,1952,"Rafi, Lata",Shakeel,Gulam Mohammad,
dil ke shiishamahal me.n aayaa ik matavaalaa chor ho,Ambar,1952,"Shamshad, Zohrabai, Other Voice?",Shakeel,Ghulam Mohemmad,
"kyo.n akhiyaa.N bhar aayii, phir koii yaad aayaa",Tamasha,1952,Lata,Bharat Vyas,Manna De,tt0139635
sapano.n me.n aanaa chhe.D chhe.D jaanaa,Shisham,1952,"Lata, Mukesh",Indeevar,Roshan,
sataayegaa kise tuu aasamaa.N,Sheesham,1952,Mukesh,Indeevar,Roshan,
dukhiyaare nainaa Dhuu.N.Dhe.n piyaa ko,Nirmohi,1952,Lata,Indeevar,Madan Mohan,
dil vaale dil giir hu_aa,Yatrik,1952,Dhananjay Bhattacharya,Pt. Bhushan,Pankaj Mullick,
tuu Dhuu.NDhataa hai jisako,Yatrik,1952,Dhananjay Bhattacharya,Pt. Bhushan,Pankaj Mullick,
is bewafaa jahaa.N me.n wafaa Dhuu.NDhate rahe,Aasmaan,1952,C H Atma,Prem Dhawan,O P Nayyar,tt22011176
jabase pii sa.ng nainaa laage,Aasmaan,1952,Rajkumari,Prem Dhawan,O P Nayyar,tt22011176
ai dard\-e\-jigar,Parchhain,1952,Lata,Noor Lucknowi,C Ramchandra,tt0358004
"kaTate hai.n dukh me.n ye din, pahaluu badal badal ke",Parchhain,1952,Lata,Noor Lucknowi,C Ramchandra,tt0358004
prem lagaanaa chaahii re manavaa,Yaatrik,1952,Binata Chakrabarty,Meera Bai (Traditional),Pankaj Mullick,
jay jay shiv OMkaaraa,Yaatrik,1952,Pankaj Mullick ?,Pt. Bhushan,Pankaj Mullick,
raam naam ghanashyaam,Yaatrik,1952,Biren Pal,B N Sharma,Pankaj Mullick,
raam naam ghanashyaam,Yaatrik,1952,Biren Bal,B N Sharma,Pankaj Mullick,
terii mahafil me.n dil thaame teraa diivaanaa aataa hai,Sheeshaa,1952,Rafi,Umar Ansari,Gulam Mohammad,
ha.Nse Tim Tim Tim chhoTe chhoTe taare,Sanskaar,1952,Lata,Shailendra,Roshan,
a.Ndhii qismat kise le chalegii kahaa.N,Sanskaar,1952,Lata,Shailendra,Roshan,
kisii suurat lagii dil kii bahal jaaye to achchhaa ho,Naubahar,1952,Talat Mahmood,Satyendra Athaiya,Roshan,
do naino.n ne jaal bichhaaya,Sanskaar,1952,Lata,Shailendra,Roshan,
muhabbat ke jhuuThe sahaaro.n ne luuTaa,Sanskaar,1952,Talat,Shailendra,Roshan,
kal jalegaa chaa.Nd saarii raat,Nirmohi,1952,Lata,Uddhav Kumar,Madan Mohan,
ye kahe chaa.Ndanii raat sunaa do apane dil kii baat,Nirmohi,1952,Lata,P N Rangeen,Madan Mohan,
wo to chale gaye ai dil yaad se unakii pyaar kar,Sangdil,1952,Lata,Rajinder Krishan,Sajjad Husain,tt0130991
"chhuum chhanaanan chhuum\-chhuum, ye samaa.N aur ham\-tum",Nayaa Ghar,1953,Lata,Shailendra,Shankar-Jaikishan,
hai ye wahii aasamaa.N,Char Chand,1953,Talat Mahmood,A. Karim,Nashad,
udhar hai husn ka jalawaa ... terii marazii hai jahaa.N,Gharbaar,1953,"Asha, Talat",Indeevar,Vasant Prabhu,
dil par sau\-sau baar chalaaye naino.n waale tiir ho,Aabshaar/ Waterfall,1953,"Munawwar Sultana, Other Voice",Qateel Shifai,Ghulam Haidar,
ye barakhaa bahaar ... na jaa more saa.Nware piyaa,Mayur Pankh,1953,"Lata, Asha",Shailendra,Shankar-Jaikishan,
lagaa kar dil pariishaa.N hai.n,Nayaa Ghar,1953,Lata,Hasrat,Shankar-Jaikishan,
kisii ne nazar se nazar jab milaa dii,Humsafar,1953,"Talat Mahmood, Asha",Sahir,Ustad Ali Akbar Khan,
"lo aaye hai.n, lo aaye din pyaar karane ke",Nayaa Ghar,1953,Lata,Hasrat,Shankar-Jaikishan,
jawaa.N hai jahaa.N ... mai.n huu.N ke hai zi.ndagii zahar,Nayaa Ghar,1953,Lata,Shailendra,Shankar-Jaikishan,
katar Daale hai.n par sayyaad ne varanaa ye dikhalaate,Malikaa Salomi,1953,Madhubala Zaveri,Farouk Qaisar,Krishnadayal,
Kushiyo.n ke zamaane aa_e dil pyaar ke gaane gaa_e,Farmaaish,1953,"Rafi, Meena Mangeshkar",Khaawar Zamaan,Husnlal Bhagatram,
ye shaam kii tanhaaiyaa.N aise me.n teraa Gam,Aah,1953,Lata,Shailendra,Shankar-Jaikishan,tt0045467
duniyaa ke dukh hare hai.n tumane,Jhanjhar?,1953?,Lalita Deolkar?,Rajinder Krishan?,C Ramchandra?,
bachapan kii yaadagaaro,Gulnar,1953,Noorjehan,Qatil Shifai,Ghulam Haider,
jiyuu.Ngaa jab talak tere fasaane yaad aaye.nge,Chingari,1953,Talat,Sahir,Manohar,tt0385976
din pyaar ke aaye re,Aansoo,1953,"Rafi, Lata",Qamar Jalalabadi,Husnlal-Bhagatram,
