song_title,album,year,singer,lyricist,composer,imdb_id
mai.n ban kii chi.Diiyaa ban ke ban ban boluu.n re,Achhut Kanya,1936,"Devika Rani, Ashok Kumar",J S Kashyap 'Natawa',Sarasvati Devi,tt0027256
dhiire baho nadiyaa dhiire baho hame.n utaran paar,Achhut Kanya,1936,"Kusum Kumari, Party",J S Kashyap 'Natawa',Saraswati Devi,tt0027256
kit gaye ho khewanahaar naiyaa Duubatii,Achhut Kanya,1936,Saraswati Devi,J S Kashyap 'Natawa',Saraswati Devi,tt0027256
suno\-suno ban ke praanii,Amar Jyoti/ Immortal Flame,1936,Shanta Apte,Pt. Narottam Vyas,Master Krishnarao,
ab mai.nne jaanaa hai haay prem kyaa hai,Amar Jyoti/ Immortal Flame,1936,Shanta Apte,Pt Narottam Vyas,Master Krishnarao,
tumhii.n ne mujhako prem sikhaayaa,Manmohan,1936,"Surendra Nath, Bibbo",Zia Sarhadi,Ashok Ghosh/ Anil Biswas?,tt0232048
harii base sakal sanasaaraa,Achhut Kanya,1936,Male Voice?,J S Kashyap 'Natawa',Saraswati Devi,tt0027256
chuu.Dii mai.n laayaa anamol re,Achhut Kanya,1936,"Mumtaz Ali, Sunita Devi",J S Kashyap 'Natawa',Saraswati Devi,tt0027256
is paapa kii duniyaa se ab aur kahii.n le chal,Dukhiari/ A Tale Of Selfless Love (1937) and Zamana (1938),1937,Amirbai,Gauri Shankar Lal 'Akhtar',Anil Biswas,
tan kaa kar le band kiwaa.Daa,Vidyapati,1937,"Kanan Devi, K C Dey/ K C Dey",Kedar Sharma,R C Boral,tt0028626
"bhuulii huii yaad aa_ii kahaanii, haay mohabbat, haay jawaanii",Toofaani Taarzan,1937,Ahmad Dilawar,Pt Gyan,Master Mohammed,
more a.nganaa me.n aaye aalii mai.n chaal chaluu.N matawaalii,Vidyapati,1937,Kanan Devi,Kedar Sharma,R C Boral,tt0028626
piyaa\-milan ko jaat huu.N,Vidyapati,1937,"K C Dey, Pahari Sanyal, Kanan Devi/ K C Dey",Kedar Sharma,R C Boral,tt0028626
